year,continent,num
1896,Americas,14
1896,Europe,161
1896,Oceania,1
1900,Americas,90
1900,Asia,2
1900,Europe,1117
1900,Oceania,3
1904,Africa,8
1904,Americas,583
1904,Europe,56
1904,Oceania,2
1906,Africa,2
1906,Americas,41
1906,Asia,1
1906,Europe,772
1906,Oceania,4
1908,Africa,14
1908,Americas,210
1908,Europe,1751
1912,Africa,21
1912,Americas,225
1912,Asia,4
1912,Europe,2087
1920,Africa,57
1920,Americas,362
1920,Asia,20
1920,Europe,2085
1920,Oceania,17
1924,Africa,54
1924,Americas,527
1924,Asia,55
1924,Europe,2370
1924,Oceania,40
1928,Africa,58
1928,Americas,519
1928,Asia,96
1928,Europe,2422
1928,Oceania,27
1932,Africa,12
1932,Americas,756
1932,Asia,186
1932,Europe,907
1932,Oceania,34
1936,Africa,85
1936,Americas,742
1936,Asia,392
1936,Europe,2888
1936,Oceania,39
1948,Africa,120
1948,Americas,1039
1948,Asia,367
1948,Europe,2611
1948,Oceania,82
1952,Africa,186
1952,Americas,900
1952,Asia,348
1952,Europe,2745
1952,Oceania,95
1956,Africa,107
1956,Americas,660
1956,Asia,445
1956,Europe,1256
1956,Oceania,354
1960,Africa,234
1960,Americas,809
1960,Asia,559
1960,Europe,2786
1960,Oceania,228
1964,Africa,294
1964,Americas,932
1964,Asia,993
1964,Europe,1941
1964,Oceania,307
1968,Africa,288
1968,Americas,1522
1968,Asia,562
1968,Europe,1879
1968,Oceania,181
1972,Africa,458
1972,Americas,1432
1972,Asia,719
1972,Europe,2650
1972,Oceania,259
1976,Africa,83
1976,Americas,1551
1976,Asia,664
1976,Europe,2108
1976,Oceania,268
1980,Africa,486
1980,Americas,538
1980,Asia,436
1980,Europe,2225
1980,Oceania,124
1984,Africa,632
1984,Americas,1807
1984,Asia,1163
1984,Europe,2096
1984,Oceania,411
1988,Africa,707
1988,Americas,1658
1988,Asia,1508
1988,Europe,2647
1988,Oceania,425
1992,Africa,743
1992,Americas,1899
1992,Asia,1419
1992,Europe,3893
1992,Oceania,488
1996,Africa,736
1996,Americas,2166
1996,Asia,1793
1996,Europe,4854
1996,Oceania,579
2000,Africa,868
2000,Americas,1983
2000,Asia,1866
2000,Europe,4919
2000,Oceania,814
2004,Africa,813
2004,Americas,1922
2004,Asia,1966
2004,Europe,5024
2004,Oceania,664
2008,Africa,845
2008,Americas,2088
2008,Asia,2245
2008,Europe,4766
2008,Oceania,663
2012,Africa,882
2012,Americas,1969
2012,Asia,1995
2012,Europe,4687
2012,Oceania,653
2016,Africa,987
2016,Americas,2485
2016,Asia,2128
2016,Europe,4521
2016,Oceania,728
